ID,"ID V 4.0","ID SwissFIR","name D","synonyms D","name F","synonyms F","name I","synonyms I","name E","synonyms E","category D","category F","category I","category E","specific gravity","energy kJ",unit,"matrix unit","value type",source,"energy kcal",unit,"matrix unit","value type",source,protein,unit,"matrix unit","value type",source,alcohol,unit,"matrix unit","value type",source,water,unit,"matrix unit","value type",source,"carbohydrates, available",unit,"matrix unit","value type",source,starch,unit,"matrix unit","value type",source,sugars,unit,"matrix unit","value type",source,"dietary fibres",unit,"matrix unit","value type",source,"fat, total",unit,"matrix unit","value type",source,cholesterol,unit,"matrix unit","value type",source,"fatty acids, monounsaturated",unit,"matrix unit","value type",source,"fatty acids, saturated",unit,"matrix unit","value type",source,"fatty acids, polyunsaturated",unit,"matrix unit","value type",source,"vitamin A activity",unit,"matrix unit","value type",source,"all-trans retinol equivalents",unit,"matrix unit","value type",source,"beta-carotene activity",unit,"matrix unit","value type",source,beta-carotene,unit,"matrix unit","value type",source,"vitamin B1 (thiamine)",unit,"matrix unit","value type",source,"vitamin B2 (riboflavin)",unit,"matrix unit","value type",source,"vitamin B6 (pyridoxine)",unit,"matrix unit","value type",source,"vitamin B12 (cobalamin)",unit,"matrix unit","value type",source,niacin,unit,"matrix unit","value type",source,folate,unit,"matrix unit","value type",source,"pantothenic acid",unit,"matrix unit","value type",source,"vitamin C (ascorbic acid)",unit,"matrix unit","value type",source,"vitamin D (calciferol)",unit,"matrix unit","value type",source,"vitamin E activity",unit,"matrix unit","value type",source,"sodium (Na)",unit,"matrix unit","value type",source,"potassium (K)",unit,"matrix unit","value type",source,"chloride (Cl)",unit,"matrix unit","value type",source,"calcium (Ca)",unit,"matrix unit","value type",source,"magnesium (Mg)",unit,"matrix unit","value type",source,"phosphorus (P)",unit,"matrix unit","value type",source,"iron (Fe)",unit,"matrix unit","value type",source,"iodide (I)",unit,"matrix unit","value type",source,"zinc (Zn)",unit,"matrix unit","value type",source,"record has changed"
10533,,,"Agar Agar",,"Agar Agar",,"Agar Agar",,"Agar Agar",,"Verschiedenes/Gelier- und Bindemittel","Divers/Gélifiants et liants","Diversi/Gelificanti e leganti","Various/Gelling and binding agents",,650,kilojoule,"per 100g edible portion",weighted,"Computed value",160,kilocalorie,"per 100g edible portion",weighted,"Computed value",2.4,gram,"per 100g edible portion",weighted,1473,,,,,,20.5,gram,"per 100g edible portion",weighted,1473,0,gram,"per 100g edible portion",weighted,1473,,,,,,,,,,,74.1,gram,"per 100g edible portion",weighted,1473,0.2,gram,"per 100g edible portion",weighted,1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,milligram,"per 100g edible portion",weighted,1473,52,milligram,"per 100g edible portion",weighted,1473,,,,,,660,milligram,"per 100g edible portion",weighted,1473,100,milligram,"per 100g edible portion",weighted,1473,34,milligram,"per 100g edible portion",weighted,1473,4.5,milligram,"per 100g edible portion",weighted,1473,,,,,,1.5,milligram,"per 100g edible portion",weighted,1473,FALSE
10536,,,Agavensirup,Agavendicksaft,"Sirop d'agave",,"Sciroppo di agave",,"Agave syrup",,"Süssigkeiten/Zucker und Süssstoffe","Sucreries/Sucres et édulcorants","Dolciumi/Zuccheri ed edulcoranti","Sweets/Sugar and sweeteners",,1250,kilojoule,"per 100g edible portion",weighted,"Computed value",295,kilocalorie,"per 100g edible portion",weighted,"Computed value",0.2,gram,"per 100g edible portion",weighted,1476;1477,,,,,,,,,,,73.1,gram,"per 100g edible portion",weighted,1477;1476,,,,,,,,,,,0,gram,"per 100g edible portion",weighted,1408,0,gram,"per 100g edible portion",weighted,1477;1476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
1478,,,"Älplermagronen, zubereitet",,"Macaronis de l'alpage, préparés",,"Maccheroni dell'alpigiano, preparati",,"Macaroni from the alps, prepared",,"Gerichte/Sonstige salzige/rezente Gerichte","Plats/Autres plats salés/épicés","Cibi/Altri cibi salati/saporiti","Prepared dishes/Other savoury dishes",,770,kilojoule,"per 100g edible portion",weighted,"Computed value",185,kilocalorie,"per 100g edible portion",weighted,"Computed value",6.1,gram,"per 100g edible portion",weighted,"Computed value",0,gram,"per 100g edible portion",weighted,"Computed value",64.6,gram,"per 100g edible portion",weighted,"Computed value",18.6,gram,"per 100g edible portion",weighted,"Computed value",17.1,gram,"per 100g edible portion",weighted,"Computed value",1.4,gram,"per 100g edible portion",weighted,"Computed value",1.7,gram,"per 100g edible portion",weighted,"Computed value",9,gram,"per 100g edible portion",weighted,"Computed value",26,milligram,"per 100g edible portion",weighted,"Computed value",2.1,gram,"per 100g edible portion",weighted,"Computed value",5.3,gram,"per 100g edible portion",weighted,"Computed value",0.5,gram,"per 100g edible portion",weighted,"Computed value",94,"retinol equivalent","per 100g edible portion",weighted,"Computed value",90,"retinol equivalent","per 100g edible portion",weighted,"Computed value",48,"beta-carotene equivalent","per 100g edible portion",weighted,"Computed value",5,microgram,"per 100g edible portion",weighted,"Computed value",0.05,milligram,"per 100g edible portion",weighted,"Computed value",0.08,milligram,"per 100g edible portion",weighted,"Computed value",0.13,milligram,"per 100g edible portion",weighted,"Computed value",0.32,microgram,"per 100g edible portion",weighted,"Computed value",0.7,milligram,"per 100g edible portion",weighted,"Computed value",11,microgram,"per 100g edible portion",weighted,"Computed value",0.24,milligram,"per 100g edible portion",weighted,"Computed value",4.5,milligram,"per 100g edible portion",weighted,"Computed value",0.3,microgram,"per 100g edible portion",weighted,"Computed value",0.2,"alpha-tocopherol equivalent","per 100g edible portion",weighted,"Computed value",440,milligram,"per 100g edible portion",weighted,"Computed value",160,milligram,"per 100g edible portion",weighted,"Computed value",690,milligram,"per 100g edible portion",weighted,"Computed value",120,milligram,"per 100g edible portion",weighted,"Computed value",19,milligram,"per 100g edible portion",weighted,"Computed value",120,milligram,"per 100g edible portion",weighted,"Computed value",0.4,milligram,"per 100g edible portion",weighted,"Computed value",6.7,microgram,"per 100g edible portion",weighted,"Computed value",0.8,milligram,"per 100g edible portion",weighted,"Computed value",TRUE
868,3704,1001540,"Amaretti (Mandelgebäck)",,"Amaretti (biscuits aux amandes)",,"Amaretti (biscotti alle mandorle)",,"Amaretti (Almond cookie)",,Süssigkeiten/Guetzli,Sucreries/Biscuits,Dolciumi/Biscotti,Sweets/Cookies/Biscuits,,1900,kilojoule,"per 100g edible portion",weighted,"Computed value",455,kilocalorie,"per 100g edible portion",weighted,"Computed value",7.6,gram,"per 100g edible portion",weighted,"Computed value",0,gram,"per 100g edible portion",weighted,"Computed value",0.7,gram,"per 100g edible portion",weighted,"Computed value",75.7,gram,"per 100g edible portion",weighted,"Computed value",1,gram,"per 100g edible portion",weighted,"Computed value",75.7,gram,"per 100g edible portion",weighted,"Computed value",3.2,gram,"per 100g edible portion",weighted,"Computed value",12.4,gram,"per 100g edible portion",weighted,"Computed value",0,milligram,"per 100g edible portion",weighted,"Computed value",7.9,gram,"per 100g edible portion",weighted,"Computed value",0.9,gram,"per 100g edible portion",weighted,"Computed value",3.3,gram,"per 100g edible portion",weighted,"Computed value",0,"retinol equivalent","per 100g edible portion",weighted,"Computed value",0,"retinol equivalent","per 100g edible portion",weighted,"Computed value",0,"beta-carotene equivalent","per 100g edible portion",weighted,"Computed value",0,microgram,"per 100g edible portion",weighted,"Computed value",0.08,milligram,"per 100g edible portion",weighted,"Computed value",0.19,milligram,"per 100g edible portion",weighted,"Computed value",0.04,milligram,"per 100g edible portion",weighted,"Computed value",0.02,microgram,"per 100g edible portion",weighted,"Computed value",0.54,milligram,"per 100g edible portion",weighted,"Computed value",13,microgram,"per 100g edible portion",weighted,"Computed value",0.16,milligram,"per 100g edible portion",weighted,"Computed value",0,milligram,"per 100g edible portion",trace,"Computed value",0,microgram,"per 100g edible portion",weighted,"Computed value",3,"alpha-tocopherol equivalent","per 100g edible portion",weighted,"Computed value",36,milligram,"per 100g edible portion",weighted,"Computed value",220,milligram,"per 100g edible portion",weighted,"Computed value",49,milligram,"per 100g edible portion",weighted,"Computed value",69,milligram,"per 100g edible portion",weighted,"Computed value",62,milligram,"per 100g edible portion",weighted,"Computed value",130,milligram,"per 100g edible portion",weighted,"Computed value",1.3,milligram,"per 100g edible portion",weighted,"Computed value",2,microgram,"per 100g edible portion","value type not known","Computed value",1.5,milligram,"per 100g edible portion",weighted,"Computed value",TRUE
617,4274,1001162,"Ananas, gezuckert (Konserve)",,"Ananas, sucré, conserve",,"Ananas, zuccherato, conserva",,"Pineapple, sweetened, canned",,"Früchte/Früchte gekocht (inkl. Konserven)","Fruits/Fruits cuits (conserves comprises)","Frutta/Frutta cotta (incl. conserve)","Fruit/Cooked fruit (incl. cans)",,370,kilojoule,"per 100g edible portion",weighted,"Computed value",90,kilocalorie,"per 100g edible portion",weighted,"Computed value",0.4,gram,"per 100g edible portion",weighted,22,0,gram,"per 100g edible portion",weighted,22,77.9,gram,"per 100g edible portion",weighted,22,20.2,gram,"per 100g edible portion",weighted,22,0,gram,"per 100g edible portion",weighted,22,20.2,gram,"per 100g edible portion",weighted,22,1.3,gram,"per 100g edible portion",weighted,22,0.2,gram,"per 100g edible portion",weighted,22,0,milligram,"per 100g edible portion",weighted,22,0,gram,"per 100g edible portion",weighted,22,0,gram,"per 100g edible portion",weighted,22,0.1,gram,"per 100g edible portion",weighted,22,,,,,,,,,,,,,,,,,,,,,0.06,milligram,"per 100g edible portion",weighted,22,0.02,milligram,"per 100g edible portion",weighted,22,0.07,milligram,"per 100g edible portion",weighted,22,0,microgram,"per 100g edible portion",weighted,22,0.24,milligram,"per 100g edible portion",weighted,22,6.3,microgram,"per 100g edible portion",weighted,22,0.15,milligram,"per 100g edible portion",weighted,22,8.1,milligram,"per 100g edible portion",weighted,22,0,microgram,"per 100g edible portion",weighted,22,0.09,"alpha-tocopherol equivalent","per 100g edible portion",weighted,22,1.8,milligram,"per 100g edible portion",weighted,22,120,milligram,"per 100g edible portion",weighted,22,35,milligram,"per 100g edible portion",weighted,22,13,milligram,"per 100g edible portion",weighted,22,14,milligram,"per 100g edible portion",weighted,22,9.9,milligram,"per 100g edible portion",weighted,22,0.3,milligram,"per 100g edible portion",weighted,22,0,microgram,"per 100g edible portion",weighted,22,0.1,milligram,"per 100g edible portion",weighted,22,TRUE
377,4118,1000840,"Ananas, roh",,"Ananas, cru",,"Ananas, crudo",,"Pineapple, fresh",,"Früchte/Früchte frisch","Fruits/Fruits frais","Frutta/Frutta fresca","Fruit/Fresh fruit",,220,kilojoule,"per 100g edible portion",weighted,"Computed value",55,kilocalorie,"per 100g edible portion",weighted,"Computed value",0.4,gram,"per 100g edible portion",weighted,43,0,gram,"per 100g edible portion",weighted,43,86.5,gram,"per 100g edible portion",weighted,43,11.3,gram,"per 100g edible portion",weighted,43,0,gram,"per 100g edible portion",weighted,43,11.3,gram,"per 100g edible portion",weighted,43,1.4,gram,"per 100g edible portion",weighted,43,0.2,gram,"per 100g edible portion",weighted,1008,0,milligram,"per 100g edible portion",weighted,43,0,gram,"per 100g edible portion",weighted,1008,0,gram,"per 100g edible portion",weighted,1008,0.1,gram,"per 100g edible portion",weighted,43,5,"retinol equivalent","per 100g edible portion",weighted,51,0,"retinol equivalent","per 100g edible portion",weighted,51,56,"beta-carotene equivalent","per 100g edible portion",weighted,51,56,microgram,"per 100g edible portion",weighted,164,0.08,milligram,"per 100g edible portion",weighted,43,0.03,milligram,"per 100g edible portion",weighted,43,0.09,milligram,"per 100g edible portion",weighted,43,0,microgram,"per 100g edible portion",weighted,43,0.3,milligram,"per 100g edible portion",weighted,43,14,microgram,"per 100g edible portion",weighted,43,0.2,milligram,"per 100g edible portion",weighted,43,18,milligram,"per 100g edible portion",weighted,43,0,microgram,"per 100g edible portion",weighted,43,0.1,"alpha-tocopherol equivalent","per 100g edible portion",weighted,43,2,milligram,"per 100g edible portion",weighted,43,150,milligram,"per 100g edible portion",weighted,43,39,milligram,"per 100g edible portion",weighted,36,15,milligram,"per 100g edible portion",weighted,43,15,milligram,"per 100g edible portion",weighted,43,11,milligram,"per 100g edible portion",weighted,43,0.3,milligram,"per 100g edible portion",weighted,43,1.4,microgram,"per 100g edible portion",weighted,1007,0.1,milligram,"per 100g edible portion",weighted,36,TRUE
618,4728,1001163,"Ananas, ungezuckert (Konserve)",,"Ananas, non sucré , conserve",,"Ananas, non zuccherato, conserva",,"Pineapple, unsweetened, canned",,"Früchte/Früchte gekocht (inkl. Konserven)","Fruits/Fruits cuits (conserves comprises)","Frutta/Frutta cotta (incl. conserve)","Fruit/Cooked fruit (incl. cans)",,220,kilojoule,"per 100g edible portion",weighted,"Computed value",55,kilocalorie,"per 100g edible portion",weighted,"Computed value",0.4,gram,"per 100g edible portion",weighted,22,0,gram,"per 100g edible portion",weighted,22,86.5,gram,"per 100g edible portion",weighted,22,11.3,gram,"per 100g edible portion",weighted,22,0,gram,"per 100g edible portion",weighted,22,11.3,gram,"per 100g edible portion",weighted,22,1.4,gram,"per 100g edible portion",weighted,22,0.2,gram,"per 100g edible portion",weighted,22,0,milligram,"per 100g edible portion",weighted,22,0,gram,"per 100g edible portion",weighted,22,0,gram,"per 100g edible portion",weighted,22,0.1,gram,"per 100g edible portion",weighted,22,,,,,,,,,,,,,,,,,,,,,0.06,milligram,"per 100g edible portion",weighted,22,0.03,milligram,"per 100g edible portion",weighted,22,0.08,milligram,"per 100g edible portion",weighted,22,0,microgram,"per 100g edible portion",weighted,22,0.27,milligram,"per 100g edible portion",weighted,22,7,microgram,"per 100g edible portion",weighted,22,0.17,milligram,"per 100g edible portion",weighted,22,9,milligram,"per 100g edible portion",weighted,22,0,microgram,"per 100g edible portion",weighted,22,0.1,"alpha-tocopherol equivalent","per 100g edible portion",weighted,22,2,milligram,"per 100g edible portion",weighted,22,130,milligram,"per 100g edible portion",weighted,22,39,milligram,"per 100g edible portion",weighted,22,14,milligram,"per 100g edible portion",weighted,22,15,milligram,"per 100g edible portion",weighted,22,11,milligram,"per 100g edible portion",weighted,22,0.3,milligram,"per 100g edible portion",weighted,22,0,microgram,"per 100g edible portion",weighted,22,0.1,milligram,"per 100g edible portion",weighted,22,TRUE
1049,3775,,"Apfel, gedünstet, abgetropft (ohne Zugabe von Zucker)",,"Pomme, cuite,  égouttée (sans adjonction de sucre)",,"Mele, cotte, sgocciolate (senza aggiunta di zucchero)",,"Apple, stewed, drained (without addition of sugar)",,"Früchte/Früchte gekocht (inkl. Konserven)","Fruits/Fruits cuits (conserves comprises)","Frutta/Frutta cotta (incl. conserve)","Fruit/Cooked fruit (incl. cans)",,310,kilojoule,"per 100g edible portion",weighted,"Computed value",75,kilocalorie,"per 100g edible portion",weighted,"Computed value",0.4,gram,"per 100g edible portion",weighted,"Computed value",0,gram,"per 100g edible portion",weighted,"Computed value",80.3,gram,"per 100g edible portion",weighted,"Computed value",15.4,gram,"per 100g edible portion",weighted,"Computed value",0.1,gram,"per 100g edible portion",weighted,"Computed value",15.3,gram,"per 100g edible portion",weighted,"Computed value",2.8,gram,"per 100g edible portion",weighted,"Computed value",0.4,gram,"per 100g edible portion",weighted,"Computed value",0,milligram,"per 100g edible portion",weighted,"Computed value",0,gram,"per 100g edible portion",weighted,"Computed value",0.1,gram,"per 100g edible portion",weighted,"Computed value",0.1,gram,"per 100g edible portion",weighted,"Computed value",3,"retinol equivalent","per 100g edible portion",weighted,"Computed value",0,"retinol equivalent","per 100g edible portion",weighted,"Computed value",34,"beta-carotene equivalent","per 100g edible portion",weighted,"Computed value",20,microgram,"per 100g edible portion",weighted,"Computed value",0.03,milligram,"per 100g edible portion",weighted,"Computed value",0.02,milligram,"per 100g edible portion",weighted,"Computed value",0.06,milligram,"per 100g edible portion",weighted,"Computed value",0,microgram,"per 100g edible portion",weighted,"Computed value",0.12,milligram,"per 100g edible portion",weighted,"Computed value",12,microgram,"per 100g edible portion",weighted,"Computed value",0.12,milligram,"per 100g edible portion",weighted,"Computed value",4.6,milligram,"per 100g edible portion",weighted,"Computed value",0,microgram,"per 100g edible portion",weighted,"Computed value",0.66,"alpha-tocopherol equivalent","per 100g edible portion",weighted,"Computed value",5.3,milligram,"per 100g edible portion",weighted,"Computed value",140,milligram,"per 100g edible portion",weighted,"Computed value",2.9,milligram,"per 100g edible portion",weighted,"Computed value",6.2,milligram,"per 100g edible portion",weighted,"Computed value",5.3,milligram,"per 100g edible portion",weighted,"Computed value",12,milligram,"per 100g edible portion",weighted,"Computed value",0.3,milligram,"per 100g edible portion",weighted,"Computed value",1,microgram,"per 100g edible portion",weighted,"Computed value",0.1,milligram,"per 100g edible portion",weighted,"Computed value",TRUE
435,3822,1000913,"Apfel, geschält, getrocknet",Dörrapfel,"Pomme, pelée, sechée",,"Mele, sbucciate, secche",,"Apple, peeled, dried",,"Früchte/Früchte getrocknet","Fruits/Fruits secs","Frutta/Frutta secca","Fruit/Dried fruit",,1250,kilojoule,"per 100g edible portion",weighted,"Computed value",295,kilocalorie,"per 100g edible portion",weighted,"Computed value",1.5,gram,"per 100g edible portion",weighted,9,0,gram,"per 100g edible portion",weighted,9,20,gram,"per 100g edible portion",weighted,9,63.2,gram,"per 100g edible portion",weighted,9,0.1,gram,"per 100g edible portion",weighted,9,60,gram,"per 100g edible portion",weighted,9,9.2,gram,"per 100g edible portion",weighted,9,2,gram,"per 100g edible portion",weighted,9,0,milligram,"per 100g edible portion",weighted,9,0.1,gram,"per 100g edible portion",weighted,9,0.5,gram,"per 100g edible portion",weighted,9,1,gram,"per 100g edible portion",weighted,9,0,"retinol equivalent","per 100g edible portion",weighted,51,0,"retinol equivalent","per 100g edible portion",weighted,51,0,"beta-carotene equivalent","per 100g edible portion",weighted,51,0,microgram,"per 100g edible portion",weighted,156,0.09,milligram,"per 100g edible portion",weighted,9,0.06,milligram,"per 100g edible portion",weighted,9,0.15,milligram,"per 100g edible portion",weighted,9,0,microgram,"per 100g edible portion",weighted,9,0.31,milligram,"per 100g edible portion",weighted,9,20,microgram,"per 100g edible portion",weighted,9,0,milligram,"per 100g edible portion",weighted,9,12.2,milligram,"per 100g edible portion",weighted,9,0,microgram,"per 100g edible portion",weighted,9,1.8,"alpha-tocopherol equivalent","per 100g edible portion",weighted,9,15,milligram,"per 100g edible portion",weighted,9,520,milligram,"per 100g edible portion",weighted,9,10,milligram,"per 100g edible portion",weighted,9,15,milligram,"per 100g edible portion",weighted,9,31,milligram,"per 100g edible portion",weighted,9,56,milligram,"per 100g edible portion",weighted,9,2,milligram,"per 100g edible portion",weighted,9,10,microgram,"per 100g edible portion",weighted,9,0.6,milligram,"per 100g edible portion",weighted,9,TRUE
378,4480,1000841,"Apfel, roh",,"Pomme, crue",,"Mela, cruda",,"Apple, fresh",,"Früchte/Früchte frisch","Fruits/Fruits frais","Frutta/Frutta fresca","Fruit/Fresh fruit",,240,kilojoule,"per 100g edible portion",weighted,"Computed value",55,kilocalorie,"per 100g edible portion",weighted,"Computed value",0.3,gram,"per 100g edible portion",weighted,43,0,gram,"per 100g edible portion",weighted,43,85,gram,"per 100g edible portion",weighted,43,11.7,gram,"per 100g edible portion",weighted,43,0.1,gram,"per 100g edible portion",weighted,43,11.6,gram,"per 100g edible portion",weighted,43,2.1,gram,"per 100g edible portion",weighted,43,0.3,gram,"per 100g edible portion",weighted,43,0,milligram,"per 100g edible portion",weighted,43,0,gram,"per 100g edible portion",weighted,43,0.1,gram,"per 100g edible portion",weighted,43,0.1,gram,"per 100g edible portion",weighted,43,2,"retinol equivalent","per 100g edible portion",weighted,51,0,"retinol equivalent","per 100g edible portion",weighted,51,26,"beta-carotene equivalent","per 100g edible portion",weighted,51,20,microgram,"per 100g edible portion",weighted,121,0.03,milligram,"per 100g edible portion",weighted,43,0.02,milligram,"per 100g edible portion",weighted,43,0.05,milligram,"per 100g edible portion",weighted,43,0,microgram,"per 100g edible portion",weighted,43,0.1,milligram,"per 100g edible portion",weighted,43,13,microgram,"per 100g edible portion",weighted,43,0.1,milligram,"per 100g edible portion",weighted,43,5,milligram,"per 100g edible portion",weighted,43,0,microgram,"per 100g edible portion",weighted,43,0.5,"alpha-tocopherol equivalent","per 100g edible portion",weighted,43,4,milligram,"per 100g edible portion",weighted,43,120,milligram,"per 100g edible portion",weighted,43,2.2,milligram,"per 100g edible portion",weighted,36,5,milligram,"per 100g edible portion",weighted,43,4,milligram,"per 100g edible portion",weighted,43,9,milligram,"per 100g edible portion",weighted,43,0.2,milligram,"per 100g edible portion",weighted,43,0.8,microgram,"per 100g edible portion",weighted,36,0.1,milligram,"per 100g edible portion",weighted,36,TRUE
